frame,id,err,3d_x,3d_y,3d_z,cam1_x,cam1_y,cam2_x,cam2_y,cam1_proj_x,cam1_proj_y,cam2_proj_x,cam2_proj_y,cam1_tl_x,cam1_tl_y,cam1_c_x,cam1_c_y,cam1_w,cam1_h,cam1_theta,cam1_aa_tl_x,cam1_aa_tl_y,cam1_aa_w,cam1_aa_h,cam1_frame,cam2_tl_x,cam2_tl_y,cam2_c_x,cam2_c_y,cam2_w,cam2_h,cam2_theta,cam2_aa_tl_x,cam2_aa_tl_y,cam2_aa_w,cam2_aa_h,cam2_frame
915,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1968.0867919921875,861.1893310546875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1910.0,836.0,1968.086785009861,861.189349112426,128.0,46.0,-3.5428721072657003,1892.0,810.0,186.0,108.0,911
916,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1954.8162841796875,862.7891845703125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1912.0,832.0,1954.8162475822048,862.7891682785298,98.0,70.0,-10.63682991164463,1902.0,820.0,140.0,98.0,912
917,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1951.436279296875,863.3792724609375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1904.0,826.0,1951.436262866192,863.3792557403009,112.0,78.0,-16.72234289158321,1900.0,828.0,122.0,90.0,913
918,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1953.2388916015625,860.9346923828125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1898.0,824.0,1953.2388724035611,860.9347181008902,126.0,76.0,-13.884596616666087,1894.0,828.0,134.0,88.0,914
919,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1954.9910888671875,858.3646240234375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1892.0,826.0,1954.9910897875257,858.3646333104866,140.0,68.0,-11.27640379278564,1888.0,828.0,150.0,84.0,915
920,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1955.2532958984373,857.3142700195312,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1888.0,824.0,1955.2533495736907,857.31425091352,150.0,64.0,-11.64296420922886,1882.0,826.0,158.0,82.0,916
921,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1954.6251220703125,855.2073974609375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1884.0,820.0,1954.625072212594,855.2073945696129,158.0,68.0,-11.808918832937,1878.0,824.0,164.0,80.0,917
922,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1954.5592041015625,853.173583984375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1880.0,820.0,1954.559221200649,853.1736073553272,164.0,64.0,-10.993166145741416,1872.0,818.0,172.0,80.0,918
923,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1953.494873046875,850.9061279296875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1876.0,816.0,1953.494897959184,850.9061224489795,170.0,66.0,-9.496149835692863,1868.0,814.0,176.0,82.0,919
924,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1949.4296875,849.0380859375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1870.0,812.0,1949.4296875,849.0380859375,174.0,68.0,-8.954153827624252,1862.0,812.0,182.0,82.0,920
925,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1950.4234619140625,846.763427734375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1864.0,812.0,1950.4234592445328,846.7634194831012,178.0,70.0,-6.206371235021456,1852.0,810.0,188.0,86.0,921
926,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1951.966064453125,843.3075561523438,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1860.0,814.0,1951.966055668704,843.3075356415477,170.0,66.0,-7.224907976953009,1840.0,806.0,196.0,88.0,922
927,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1959.206298828125,843.4515380859375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1874.0,816.0,1959.2062966031485,843.4515327257665,150.0,60.0,-12.929138523202765,1832.0,800.0,194.0,90.0,923
928,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1969.4078369140625,840.5610961914062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1894.0,808.0,1969.407867494824,840.5610766045547,128.0,68.0,-18.826527336248407,1844.0,796.0,180.0,96.0,924
929,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1974.2210693359373,843.5655517578125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1884.0,796.0,1974.2210796915167,843.5655526992289,148.0,96.0,-8.204561967434802,1852.0,792.0,180.0,102.0,925
930,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1974.422119140625,843.6533203125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1886.0,790.0,1974.4221698113208,843.6533018867924,146.0,106.0,-9.781699958332801,1870.0,786.0,162.0,104.0,926
931,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1984.244384765625,837.5532836914062,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1910.0,786.0,1984.2443579766527,837.5533073929961,120.0,96.0,1.9425595444834591,1890.0,780.0,138.0,110.0,927
932,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1979.6876220703125,832.6666870117188,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1924.0,784.0,1979.6876456876453,832.6666666666665,104.0,102.0,-59.96597206895128,1902.0,776.0,116.0,114.0,928
933,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1975.435546875,830.5305786132812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1910.0,790.0,1975.4355195283715,830.5305821665437,116.0,94.0,-59.502941969100505,1916.0,772.0,98.0,118.0,929
934,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1976.866943359375,824.3173217773438,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,1914.0,786.0,1976.866987179487,824.3173076923077,114.0,84.0,-72.04622547286127,1922.0,770.0,88.0,118.0,930
