Filename,Object ID,Annotation tag,UpperLeftCornerX,UpperLeftCornerY,LowerRightCornerX,LowerRightCornerY,Confidence,Frame
000001.jpg,-1,Zebrafish,760.8040771,478.1212463,1072.636841,581.3225708,0.99996078,1
000001.jpg,-1,Zebrafish,1339.062622,893.1557617,1472.228516,960.3812866,0.998562872,1
000001.jpg,-1,Zebrafish,846.3587646,445.0730591,938.2111206,494.6693726,0.935624361,1
000001.jpg,-1,Zebrafish,2625.604004,94.25901031,2704.000244,316.3233337,0.907504559,1
000001.jpg,-1,Zebrafish,767.368103,470.8760986,849.1663208,568.7756958,0.905822873,1
000001.jpg,-1,Zebrafish,804.1813354,536.7029419,1006.167114,607.4692383,0.902703345,1
000001.jpg,-1,Zebrafish,2043.499756,1406.053833,2310.260986,1482.007202,0.507917166,1
000001.jpg,-1,Zebrafish,2388.083984,997.1818848,2561.433105,1109.868774,0.465154797,1
000001.jpg,-1,Zebrafish,353.7715454,1365.920532,759.6609497,1420.509644,0.396064073,1
000001.jpg,-1,Zebrafish,2510.616699,0,2589.585449,267.4355774,0.29809761,1
000001.jpg,-1,Zebrafish,797.7412109,383.3731689,1130.566162,441.2259521,0.255726695,1
000002.jpg,-1,Zebrafish,757.2949829,477.9974976,1068.507324,582.4998169,0.999971628,2
000002.jpg,-1,Zebrafish,1339.867554,888.7830811,1465.581787,961.8493042,0.997172594,2
000002.jpg,-1,Zebrafish,847.09552,446.4032898,938.7518921,493.5928345,0.973836243,2
000002.jpg,-1,Zebrafish,806.0286255,537.4230957,999.1235962,608.3169556,0.938275158,2
000002.jpg,-1,Zebrafish,2625.547363,93.22488403,2704.000244,316.1299133,0.921007454,2
000002.jpg,-1,Zebrafish,767.3892212,471.0817871,852.5441895,568.3947144,0.667194486,2
000002.jpg,-1,Zebrafish,2054.528076,1400.512817,2316.087646,1489.255493,0.6468876,2
000002.jpg,-1,Zebrafish,345.5169067,1353.72522,729.2129517,1417.744507,0.480492562,2
000002.jpg,-1,Zebrafish,2388.390869,1001.235352,2559.838867,1108.319214,0.171024814,2
000002.jpg,-1,Zebrafish,2511.383545,0,2588.324219,270.1004333,0.159715667,2
000002.jpg,-1,Zebrafish,780.8536987,273.2050171,896.4404907,332.6444092,0.135298714,2
000002.jpg,-1,Zebrafish,163.9763184,1181.888794,382.4827881,1442.993408,0.059460483,2
000002.jpg,-1,Zebrafish,797.9691162,384.3108521,1138.522827,441.8581848,0.052224621,2
000002.jpg,-1,Zebrafish,1328.063721,890.6746216,1583.483765,952.2161255,0.050776906,2
000003.jpg,-1,Zebrafish,752.3413086,478.9047546,1065.176392,580.6713257,0.999969482,3
000003.jpg,-1,Zebrafish,849.3516846,446.5745544,940.5825195,494.7203979,0.985727966,3
000003.jpg,-1,Zebrafish,1342.627441,883.5256958,1455.208252,961.9984131,0.982046187,3
000003.jpg,-1,Zebrafish,821.7502441,539.2398071,988.4525146,614.2191162,0.975679994,3
000003.jpg,-1,Zebrafish,2625.035645,95.70935059,2704.000244,315.6184998,0.878435016,3
000003.jpg,-1,Zebrafish,807.9768066,457.382843,1000.739868,615.2966309,0.837761462,3
000003.jpg,-1,Zebrafish,2032.170654,1405.958374,2315.568359,1482.260986,0.772692204,3
000003.jpg,-1,Zebrafish,764.1326294,470.0195923,852.1680298,564.1590576,0.676245987,3
000003.jpg,-1,Zebrafish,1330.804443,887.7362671,1584.354004,953.7351685,0.461923212,3
000003.jpg,-1,Zebrafish,344.9571533,1353.478027,727.6239624,1418.5802,0.442119896,3
000003.jpg,-1,Zebrafish,2388.918701,1002.728882,2560.464111,1108.893677,0.287192047,3
000003.jpg,-1,Zebrafish,2510.789307,0,2588.36792,271.1045532,0.203058511,3
000003.jpg,-1,Zebrafish,156.8482819,1185.271606,379.276001,1441.661133,0.086560212,3
000003.jpg,-1,Zebrafish,789.9740601,382.5863953,1137.088379,437.788208,0.069584735,3
000003.jpg,-1,Zebrafish,787.3776245,519.3352661,1002.971008,584.0283203,0.061316423,3
000004.jpg,-1,Zebrafish,752.3945313,475.1248474,1057.265381,593.421875,0.999974966,4
000004.jpg,-1,Zebrafish,1342.647949,879.329834,1429.827881,968.9307861,0.998057783,4
000004.jpg,-1,Zebrafish,850.3078003,446.474884,942.4110107,495.4398193,0.99049741,4
000004.jpg,-1,Zebrafish,818.34198,537.7473145,982.9952393,610.7374268,0.886880338,4
000004.jpg,-1,Zebrafish,2626.593506,95.26578522,2704.000244,314.6517334,0.886463046,4
000004.jpg,-1,Zebrafish,2057.713867,1403.014282,2313.423584,1487.308838,0.774745703,4
000004.jpg,-1,Zebrafish,763.2778931,471.1825867,849.0454712,563.9559937,0.499739766,4
000004.jpg,-1,Zebrafish,359.289917,1366.754761,745.4622803,1420.828369,0.407267749,4
000004.jpg,-1,Zebrafish,2389.330566,1001.71637,2561.756348,1109.634399,0.264439642,4
000004.jpg,-1,Zebrafish,2512.041992,0,2588.800781,260.0888672,0.229354098,4
000005.jpg,-1,Zebrafish,746.5617065,474.4229736,1051.155396,598.5505981,0.999966621,5
000005.jpg,-1,Zebrafish,1341.741089,876.5064087,1417.143188,972.5748291,0.998911977,5
000005.jpg,-1,Zebrafish,852.734375,447.2717896,941.5861816,498.1481018,0.983184755,5
000005.jpg,-1,Zebrafish,811.6851196,528.1953125,983.0074463,618.383728,0.939664721,5
000005.jpg,-1,Zebrafish,2624.341064,98.45122528,2704.000244,314.6407471,0.874724567,5
