Filename,Object ID,Annotation tag,Upper left corner X,Upper left corner Y,Lower right corner X,Lower right corner Y,Confidence,Frame
000001.jpg,-1,Zebrafish,1605.694458,775.4211426,1667.578735,838.3297119,0.999968052,1
000001.jpg,-1,Zebrafish,1856.031006,1072.579224,1917.89624,1135.108276,0.999710977,1
000001.jpg,-1,Zebrafish,127.3118286,1190.935547,189.3540802,1253.434937,0.999084711,1
000001.jpg,-1,Zebrafish,2430.364502,1070.938354,2494.788086,1131.527466,0.97022891,1
000001.jpg,-1,Zebrafish,2629.10791,391.8447571,2689.78833,455.2477417,0.965680063,1
000001.jpg,-1,Zebrafish,2625.513672,259.2735901,2689.084717,319.3364563,0.963721991,1
000001.jpg,-1,Zebrafish,342.4680176,1381.622559,404.2157898,1444.598755,0.835109174,1
000002.jpg,-1,Zebrafish,1596.514282,775.0880737,1658.382813,838.0620117,0.999974608,2
000002.jpg,-1,Zebrafish,1855.343994,1072.608521,1917.116089,1135.139648,0.999534369,2
000002.jpg,-1,Zebrafish,126.7186127,1190.386475,188.5522003,1253.030273,0.998042345,2
000002.jpg,-1,Zebrafish,2629.538086,256.8406677,2691.363037,317.7091064,0.972309709,2
000002.jpg,-1,Zebrafish,2431.172363,1071.206665,2495.419434,1132.031128,0.938025475,2
000002.jpg,-1,Zebrafish,2625.84082,395.4212036,2687.65918,458.385376,0.93069005,2
000002.jpg,-1,Zebrafish,341.4390259,1382.768311,404.2538452,1443.444702,0.464549899,2
000003.jpg,-1,Zebrafish,1589.113403,774.7888794,1651.109131,837.630188,0.999974489,3
000003.jpg,-1,Zebrafish,1854.44165,1073.627808,1916.447998,1136.030518,0.999600589,3
000003.jpg,-1,Zebrafish,126.9336319,1189.438599,188.5536499,1252.787598,0.999068558,3
000003.jpg,-1,Zebrafish,2628.479248,392.7158203,2689.624756,455.6962585,0.985824704,3
000003.jpg,-1,Zebrafish,2630.689941,256.4512939,2692.405273,317.2712097,0.975155234,3
000003.jpg,-1,Zebrafish,2429.804932,1071.183716,2494.064941,1131.894287,0.9720909,3
000003.jpg,-1,Zebrafish,339.9941101,1382.998413,402.8711548,1443.635986,0.378605008,3
000004.jpg,-1,Zebrafish,1582.216431,773.8495483,1644.296387,836.6430664,0.999984384,4
000004.jpg,-1,Zebrafish,1853.681396,1073.571899,1915.683594,1136.042725,0.999757946,4
000004.jpg,-1,Zebrafish,128.96492,1190.525146,190.7082672,1253.149414,0.996763229,4
000004.jpg,-1,Zebrafish,2630.550781,255.9650116,2692.32666,316.7491455,0.989546716,4
000004.jpg,-1,Zebrafish,2628.448242,392.3860474,2689.458496,455.481781,0.981893659,4
000004.jpg,-1,Zebrafish,2430.699951,1070.876709,2494.999512,1131.800049,0.944336712,4
000004.jpg,-1,Zebrafish,340.5568237,1381.230103,402.8104858,1444.494385,0.730330586,4
000005.jpg,-1,Zebrafish,1577.164429,773.291626,1639.34436,835.9134521,0.999986887,5
000005.jpg,-1,Zebrafish,1852.755859,1074.151611,1914.521118,1136.795654,0.999836087,5
000005.jpg,-1,Zebrafish,126.0725784,1191.390503,187.5887909,1254.329346,0.998306394,5
000005.jpg,-1,Zebrafish,2630.844971,255.8607788,2692.68457,316.5801697,0.978714526,5
000005.jpg,-1,Zebrafish,2625.834961,395.4508057,2687.681152,458.3369446,0.969720066,5
000005.jpg,-1,Zebrafish,342.0800781,1382.463623,405.0970459,1443.120605,0.922478318,5
000005.jpg,-1,Zebrafish,2429.900879,1071.152832,2494.435303,1131.489258,0.9028548,5
